date,open,high,low,close,volume,dividends,stock_splits,rsi,macd,macd_signal,macd_histogram,volatility,sma_20,sma_50
2020-01-02 00:00:00-05:00,61.599998474121094,61.599998474121094,60.63999938964844,61.18000030517578,486873,0.0,0.0,,0.0,0.0,0.0,,,
2020-01-03 00:00:00-05:00,61.18000030517578,64.08999633789062,61.130001068115234,63.04999923706055,885861,0.0,0.0,,0.041955104241004904,0.023308391245002724,0.01864671299600218,,,
2020-01-06 00:00:00-05:00,63.709999084472656,64.72000122070312,62.63999938964844,63.27000045776367,724236,0.0,0.0,,0.06028135502882037,0.03846124525476405,0.021820109774056323,,,
2020-01-07 00:00:00-05:00,62.90999984741211,63.150001525878906,62.11000061035156,62.70000076293945,582649,0.0,0.0,,0.046559528302630326,0.04120456607043691,0.005354962232193415,,,
2020-01-08 00:00:00-05:00,62.84000015258789,65.6500015258789,59.150001525878906,59.61000061035156,1205710,0.0,0.0,,-0.08483511983494196,0.0037106090543199276,-0.08854572888926189,,,
2020-01-09 00:00:00-05:00,59.9900016784668,60.310001373291016,58.65999984741211,59.560001373291016,750933,0.0,0.0,,-0.16436450102715128,-0.04184709057310634,-0.12251741045404493,,,
2020-01-10 00:00:00-05:00,59.61000061035156,59.779998779296875,58.849998474121094,59.040000915527344,596186,0.0,0.0,,-0.23609324364084472,-0.09100560989873131,-0.14508763374211342,,,
2020-01-13 00:00:00-05:00,59.040000915527344,59.27000045776367,57.90999984741211,58.08000183105469,584002,0.0,0.0,,-0.3260508746446362,-0.14749140704435548,-0.17855946760028074,,,
2020-01-14 00:00:00-05:00,58.029998779296875,58.720001220703125,57.720001220703125,58.22999954223633,507714,0.0,0.0,,-0.3759419069683858,-0.20026460587558087,-0.17567730109280494,,,
2020-01-15 00:00:00-05:00,58.20000076293945,58.36000061035156,57.36000061035156,57.810001373291016,433169,0.0,0.0,,-0.42749756888688495,-0.2511779804455131,-0.17631958844137186,,,
2020-01-16 00:00:00-05:00,58.099998474121094,58.869998931884766,57.560001373291016,58.52000045776367,182871,0.0,0.0,,-0.4209315990567717,-0.2883191022363311,-0.13261249682044057,,,
2020-01-17 00:00:00-05:00,58.59000015258789,58.97999954223633,58.27000045776367,58.540000915527344,122561,0.0,0.0,,-0.40929242334857463,-0.3142990981860477,-0.09499332516252695,,,
2020-01-21 00:00:00-05:00,59.16999816894531,59.72999954223633,57.68000030517578,58.34000015258789,648335,0.0,0.0,,-0.40652874053322563,-0.33381809484493147,-0.07271064568829416,,,
