,title,description,publishedAt,url,source,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_neutral
0,Electricity market fall amid seasonal patterns,Market update for 2025-09-24: electricity market fall amid seasonal patterns,2025-09-24 12:32:01.785043,https://example.com/news/EL=F_20250924,Realistic News Generator,-0.6854229811562835,0.0,0.6854229811562835,0.31457701884371647
1,Renewable energy fluctuate on inventory levels,Market update for 2025-09-25: renewable energy fluctuate on inventory levels,2025-09-25 12:32:01.785043,https://example.com/news/EL=F_20250925,Realistic News Generator,0.13516707049439303,0.13516707049439303,0.0,0.864832929505607
2,Electricity market stabilize amid weather conditions,Market update for 2025-09-26: electricity market stabilize amid weather conditions,2025-09-26 12:32:01.785043,https://example.com/news/EL=F_20250926,Realistic News Generator,0.10701406709566685,0.10701406709566685,0.0,0.8929859329043331
3,Energy demand stabilize following weather conditions,Market update for 2025-09-26: energy demand stabilize following weather conditions,2025-09-26 12:32:01.785043,https://example.com/news/EL=F_20250926,Realistic News Generator,0.5678282883210111,0.5678282883210111,0.0,0.43217171167898893
4,Electricity prices decline on policy changes,Market update for 2025-09-26: electricity prices decline on policy changes,2025-09-26 12:32:01.785043,https://example.com/news/EL=F_20250926,Realistic News Generator,-0.5032759840622725,0.0,0.5032759840622725,0.4967240159377275
5,Energy demand rise following weather conditions,Market update for 2025-09-27: energy demand rise following weather conditions,2025-09-27 12:32:01.785043,https://example.com/news/EL=F_20250927,Realistic News Generator,0.4022376889060846,0.4022376889060846,0.0,0.5977623110939154
6,Power grid rise due to policy changes,Market update for 2025-09-28: power grid rise due to policy changes,2025-09-28 12:32:01.785043,https://example.com/news/EL=F_20250928,Realistic News Generator,0.37132202972328476,0.37132202972328476,0.0,0.6286779702767152
7,Electricity prices fall on demand changes,Market update for 2025-09-29: electricity prices fall on demand changes,2025-09-29 12:32:01.785043,https://example.com/news/EL=F_20250929,Realistic News Generator,-0.3454826673832501,0.0,0.3454826673832501,0.6545173326167499
8,Renewable energy surge on supply concerns,Market update for 2025-09-29: renewable energy surge on supply concerns,2025-09-29 12:32:01.785043,https://example.com/news/EL=F_20250929,Realistic News Generator,0.2917782509856985,0.2917782509856985,0.0,0.7082217490143015
9,Energy demand surge following geopolitical tensions,Market update for 2025-09-30: energy demand surge following geopolitical tensions,2025-09-30 12:32:01.785043,https://example.com/news/EL=F_20250930,Realistic News Generator,0.5794302570641926,0.5794302570641926,0.0,0.4205697429358074
10,Electricity prices decline on supply concerns,Market update for 2025-09-30: electricity prices decline on supply concerns,2025-09-30 12:32:01.785043,https://example.com/news/EL=F_20250930,Realistic News Generator,-0.18686607499361196,0.0,0.18686607499361196,0.813133925006388
11,Energy demand rise following inventory levels,Market update for 2025-09-30: energy demand rise following inventory levels,2025-09-30 12:32:01.785043,https://example.com/news/EL=F_20250930,Realistic News Generator,0.7654818623287218,0.7654818623287218,0.0,0.23451813767127816
12,Renewable energy stabilize on seasonal patterns,Market update for 2025-10-01: renewable energy stabilize on seasonal patterns,2025-10-01 12:32:01.785043,https://example.com/news/EL=F_20251001,Realistic News Generator,0.2052116725510556,0.2052116725510556,0.0,0.7947883274489445
13,Electricity prices fluctuate on trading activity,Market update for 2025-10-02: electricity prices fluctuate on trading activity,2025-10-02 12:32:01.785043,https://example.com/news/EL=F_20251002,Realistic News Generator,0.28194844316260465,0.28194844316260465,0.0,0.7180515568373953
14,Electricity prices stabilize on export restrictions,Market update for 2025-10-02: electricity prices stabilize on export restrictions,2025-10-02 12:32:01.785043,https://example.com/news/EL=F_20251002,Realistic News Generator,0.2576925538000557,0.2576925538000557,0.0,0.7423074461999444
15,Renewable energy stabilize on trading activity,Market update for 2025-10-03: renewable energy stabilize on trading activity,2025-10-03 12:32:01.785043,https://example.com/news/EL=F_20251003,Realistic News Generator,0.1265453510338834,0.1265453510338834,0.0,0.8734546489661166
16,Electricity prices rise on export restrictions,Market update for 2025-10-04: electricity prices rise on export restrictions,2025-10-04 12:32:01.785043,https://example.com/news/EL=F_20251004,Realistic News Generator,0.34518687003313164,0.34518687003313164,0.0,0.6548131299668684
17,Renewable energy stabilize on weather conditions,Market update for 2025-10-04: renewable energy stabilize on weather conditions,2025-10-04 12:32:01.785043,https://example.com/news/EL=F_20251004,Realistic News Generator,0.3638362028976634,0.3638362028976634,0.0,0.6361637971023366
18,Power grid rise due to demand changes,Market update for 2025-10-05: power grid rise due to demand changes,2025-10-05 12:32:01.785043,https://example.com/news/EL=F_20251005,Realistic News Generator,0.661803930038402,0.661803930038402,0.0,0.338196069961598
19,Electricity prices rise on geopolitical tensions,Market update for 2025-10-05: electricity prices rise on geopolitical tensions,2025-10-05 12:32:01.785043,https://example.com/news/EL=F_20251005,Realistic News Generator,0.19394345205017394,0.19394345205017394,0.0,0.8060565479498261
20,Renewable energy surge on supply concerns,Market update for 2025-10-06: renewable energy surge on supply concerns,2025-10-06 12:32:01.785043,https://example.com/news/EL=F_20251006,Realistic News Generator,0.49442552529758577,0.49442552529758577,0.0,0.5055744747024142
21,Electricity market rise amid policy changes,Market update for 2025-10-07: electricity market rise amid policy changes,2025-10-07 12:32:01.785043,https://example.com/news/EL=F_20251007,Realistic News Generator,0.3036328967325671,0.3036328967325671,0.0,0.6963671032674329
22,Renewable energy decline on demand changes,Market update for 2025-10-07: renewable energy decline on demand changes,2025-10-07 12:32:01.785043,https://example.com/news/EL=F_20251007,Realistic News Generator,-0.5777975856056785,0.0,0.5777975856056785,0.4222024143943215
23,Power grid rise due to demand changes,Market update for 2025-10-07: power grid rise due to demand changes,2025-10-07 12:32:01.785043,https://example.com/news/EL=F_20251007,Realistic News Generator,0.6212146635026994,0.6212146635026994,0.0,0.3787853364973006
24,Renewable energy rise on policy changes,Market update for 2025-10-08: renewable energy rise on policy changes,2025-10-08 12:32:01.785043,https://example.com/news/EL=F_20251008,Realistic News Generator,0.39672252306626354,0.39672252306626354,0.0,0.6032774769337365
26,Power grid fluctuate due to trading activity,Market update for 2025-10-09: power grid fluctuate due to trading activity,2025-10-09 12:32:01.785043,https://example.com/news/EL=F_20251009,Realistic News Generator,-0.11086740696852238,0.0,0.11086740696852238,0.8891325930314776
27,Electricity market fall amid geopolitical tensions,Market update for 2025-10-09: electricity market fall amid geopolitical tensions,2025-10-09 12:32:01.785043,https://example.com/news/EL=F_20251009,Realistic News Generator,-0.5698866168552403,0.0,0.5698866168552403,0.43011338314475966
25,Renewable energy stabilize on market volatility,Market update for 2025-10-09: renewable energy stabilize on market volatility,2025-10-09 12:32:01.785043,https://example.com/news/EL=F_20251009,Realistic News Generator,0.26411495526751594,0.26411495526751594,0.0,0.7358850447324841
28,Electricity market fluctuate amid export restrictions,Market update for 2025-10-10: electricity market fluctuate amid export restrictions,2025-10-10 12:32:01.785043,https://example.com/news/EL=F_20251010,Realistic News Generator,0.26210470678305237,0.26210470678305237,0.0,0.7378952932169476
29,Electricity market rise amid economic indicators,Market update for 2025-10-10: electricity market rise amid economic indicators,2025-10-10 12:32:01.785043,https://example.com/news/EL=F_20251010,Realistic News Generator,0.7386822686851318,0.7386822686851318,0.0,0.26131773131486824
30,Energy demand rise following production cuts,Market update for 2025-10-10: energy demand rise following production cuts,2025-10-10 12:32:01.785043,https://example.com/news/EL=F_20251010,Realistic News Generator,0.3086198079353697,0.3086198079353697,0.0,0.6913801920646303
31,Electricity market stabilize amid production cuts,Market update for 2025-10-11: electricity market stabilize amid production cuts,2025-10-11 12:32:01.785043,https://example.com/news/EL=F_20251011,Realistic News Generator,0.1641395887186242,0.1641395887186242,0.0,0.8358604112813758
32,Renewable energy fall on seasonal patterns,Market update for 2025-10-11: renewable energy fall on seasonal patterns,2025-10-11 12:32:01.785043,https://example.com/news/EL=F_20251011,Realistic News Generator,-0.4122105805423025,0.0,0.4122105805423025,0.5877894194576976
